acc | connection: 1 | time: 4.013593912124634 | x_acc: -410 | y_acc: 2114 | z_acc: 256 
gyr | connection: 1 | time: 4.014280796051025 | x_gyr: -123 | y_gyr: 208 | z_gyr: 394 
ori | connection: 1 | time: 4.024677753448486 | roll: -2.9837921948100696 | pitch: -1.5707963267948966 | yaw: -2.986647342341648 
acc | connection: 1 | time: 4.025880575180054 | x_acc: -137 | y_acc: 2149 | z_acc: 278 
gyr | connection: 1 | time: 4.025880575180054 | x_gyr: -117 | y_gyr: 103 | z_gyr: 434 
ori | connection: 1 | time: 4.034133195877075 | roll: -2.9979906052996 | pitch: -1.5707963267948966 | yaw: -2.9928643496577405 
acc | connection: 1 | time: 4.034133195877075 | x_acc: 75 | y_acc: 2276 | z_acc: 128 
gyr | connection: 1 | time: 4.035261869430542 | x_gyr: 19 | y_gyr: -202 | z_gyr: 503 
ori | connection: 1 | time: 4.041662693023682 | roll: -3.0204553461472337 | pitch: -1.5707963267948966 | yaw: -3.0071500319042994 
acc | connection: 1 | time: 4.041662693023682 | x_acc: 475 | y_acc: 2235 | z_acc: -71 
gyr | connection: 1 | time: 4.042663097381592 | x_gyr: 164 | y_gyr: -299 | z_gyr: 777 
ori | connection: 1 | time: 4.048293828964233 | roll: -3.048123531288275 | pitch: -1.5707963267948966 | yaw: -3.0234732889126295 
acc | connection: 1 | time: 4.048293828964233 | x_acc: 400 | y_acc: 2202 | z_acc: -103 
gyr | connection: 1 | time: 4.0492939949035645 | x_gyr: 108 | y_gyr: 45 | z_gyr: 1131 
ori | connection: 1 | time: 4.054136276245117 | roll: -3.0786549470410005 | pitch: -1.5707963267948966 | yaw: -3.0370053481113284 
acc | connection: 1 | time: 4.054136276245117 | x_acc: 346 | y_acc: 2015 | z_acc: 188 
gyr | connection: 1 | time: 4.05513596534729 | x_gyr: 0 | y_gyr: 566 | z_gyr: 1362 
ori | connection: 1 | time: 4.0594305992126465 | roll: -3.11395121668576 | pitch: -1.5707963267948966 | yaw: -3.0503509222166865 
acc | connection: 1 | time: 4.0594305992126465 | x_acc: 611 | y_acc: 1880 | z_acc: 414 
gyr | connection: 1 | time: 4.0594305992126465 | x_gyr: -78 | y_gyr: 576 | z_gyr: 1486 
ori | connection: 1 | time: 4.064136743545532 | roll: 3.131041570634866 | pitch: -1.5707963267948966 | yaw: -3.064856985822061 
acc | connection: 1 | time: 4.064136743545532 | x_acc: 724 | y_acc: 1915 | z_acc: 501 
gyr | connection: 1 | time: 4.064136743545532 | x_gyr: -104 | y_gyr: -38 | z_gyr: 1578 
ori | connection: 1 | time: 4.071599006652832 | roll: 3.095242622027813 | pitch: -1.5707963267948966 | yaw: -3.080512943961243 
acc | connection: 1 | time: 4.071599006652832 | x_acc: 604 | y_acc: 1783 | z_acc: 445 
gyr | connection: 1 | time: 4.071599006652832 | x_gyr: -41 | y_gyr: -605 | z_gyr: 1531 
ori | connection: 1 | time: 4.076451539993286 | roll: 3.0644984773046495 | pitch: -1.5707963267948966 | yaw: -3.0946601438013954 
acc | connection: 1 | time: 4.076451539993286 | x_acc: 400 | y_acc: 1711 | z_acc: 316 
gyr | connection: 1 | time: 4.077449798583984 | x_gyr: -62 | y_gyr: -907 | z_gyr: 1394 
ori | connection: 1 | time: 4.08173131942749 | roll: 3.0387096761193324 | pitch: -1.5707963267948966 | yaw: -3.1062282284235883 
acc | connection: 1 | time: 4.08173131942749 | x_acc: 272 | y_acc: 1680 | z_acc: 231 
gyr | connection: 1 | time: 4.08173131942749 | x_gyr: -105 | y_gyr: -848 | z_gyr: 1253 
ori | connection: 1 | time: 4.31005334854126 | roll: 3.018405401186004 | pitch: -1.5707963267948966 | yaw: -3.1145698799829153 
acc | connection: 1 | time: 4.3110575675964355 | x_acc: 147 | y_acc: 1674 | z_acc: 209 
gyr | connection: 1 | time: 4.312393426895142 | x_gyr: -142 | y_gyr: -595 | z_gyr: 1092 
ori | connection: 1 | time: 4.325952529907227 | roll: 3.0027111149148387 | pitch: -1.5707963267948966 | yaw: -3.121395235500502 
acc | connection: 1 | time: 4.326956272125244 | x_acc: 119 | y_acc: 1673 | z_acc: 157 
gyr | connection: 1 | time: 4.327907085418701 | x_gyr: -139 | y_gyr: -316 | z_gyr: 924 
ori | connection: 1 | time: 4.340759038925171 | roll: 2.991161758838473 | pitch: -1.5707963267948966 | yaw: -3.125662308132912 
acc | connection: 1 | time: 4.342528820037842 | x_acc: 156 | y_acc: 1684 | z_acc: 164 
gyr | connection: 1 | time: 4.34384822845459 | x_gyr: -150 | y_gyr: -91 | z_gyr: 728 
ori | connection: 1 | time: 4.356114387512207 | roll: 2.983804933284494 | pitch: -1.5707963267948966 | yaw: -3.128431490510452 
acc | connection: 1 | time: 4.35779333114624 | x_acc: 201 | y_acc: 1784 | z_acc: 130 
gyr | connection: 1 | time: 4.358940839767456 | x_gyr: -112 | y_gyr: -154 | z_gyr: 477 
ori | connection: 1 | time: 4.371000528335571 | roll: 2.9809146895843712 | pitch: -1.5707963267948966 | yaw: -3.1291018503991315 
acc | connection: 1 | time: 4.3720057010650635 | x_acc: 263 | y_acc: 1875 | z_acc: -2 
gyr | connection: 1 | time: 4.3738837242126465 | x_gyr: -126 | y_gyr: -343 | z_gyr: 178 
ori | connection: 1 | time: 4.386089086532593 | roll: 2.989588253081094 | pitch: -1.5707963267948966 | yaw: -3.1254048163048735 
acc | connection: 1 | time: 4.387094259262085 | x_acc: -217 | y_acc: 2008 | z_acc: -69 
gyr | connection: 1 | time: 4.3880956172943115 | x_gyr: 6 | y_gyr: -502 | z_gyr: -239 
ori | connection: 1 | time: 4.400508880615234 | roll: 3.0105918402312977 | pitch: -1.5707963267948966 | yaw: -3.1176541169912144 
acc | connection: 1 | time: 4.4027135372161865 | x_acc: -593 | y_acc: 2060 | z_acc: -115 
gyr | connection: 1 | time: 4.403882741928101 | x_gyr: 139 | y_gyr: -586 | z_gyr: -726 
ori | connection: 1 | time: 4.41863751411438 | roll: 3.043111399269413 | pitch: -1.5707963267948966 | yaw: -3.1116172754623257 
acc | connection: 1 | time: 4.419790029525757 | x_acc: -951 | y_acc: 2207 | z_acc: -348 
gyr | connection: 1 | time: 4.4207923412323 | x_gyr: 334 | y_gyr: -207 | z_gyr: -1118 
ori | connection: 1 | time: 4.432779550552368 | roll: 3.070698165539778 | pitch: -1.5707963267948966 | yaw: -3.1073934663855702 
acc | connection: 1 | time: 4.435306787490845 | x_acc: -221 | y_acc: 2474 | z_acc: -32 
gyr | connection: 1 | time: 4.436449766159058 | x_gyr: 381 | y_gyr: 916 | z_gyr: -1132 
ori | connection: 1 | time: 4.4493632316589355 | roll: 3.0837653505704674 | pitch: -1.5707963267948966 | yaw: -3.095427340428837 
acc | connection: 1 | time: 4.45082688331604 | x_acc: 139 | y_acc: 2568 | z_acc: 753 
gyr | connection: 1 | time: 4.4510931968688965 | x_gyr: 31 | y_gyr: 1442 | z_gyr: -499 
ori | connection: 1 | time: 4.459554195404053 | roll: 3.096908287450577 | pitch: -1.5707963267948966 | yaw: -3.082638444854482 
acc | connection: 1 | time: 4.459554195404053 | x_acc: -443 | y_acc: 2262 | z_acc: 691 
gyr | connection: 1 | time: 4.460554838180542 | x_gyr: -8 | y_gyr: 634 | z_gyr: -274 
ori | connection: 1 | time: 4.467191219329834 | roll: 3.1050603557192975 | pitch: -1.5707963267948966 | yaw: -3.081369069898644 
acc | connection: 1 | time: 4.467191219329834 | x_acc: 122 | y_acc: 2039 | z_acc: 497 
gyr | connection: 1 | time: 4.468191623687744 | x_gyr: 371 | y_gyr: -90 | z_gyr: -438 
ori | connection: 1 | time: 4.473251581192017 | roll: 3.1060419295471426 | pitch: -1.5707963267948966 | yaw: -3.0821427126578205 
acc | connection: 1 | time: 4.474656581878662 | x_acc: 104 | y_acc: 1947 | z_acc: 266 
gyr | connection: 1 | time: 4.474656581878662 | x_gyr: 182 | y_gyr: -852 | z_gyr: -129 
ori | connection: 1 | time: 4.479848146438599 | roll: 3.1117373083741757 | pitch: -1.5707963267948966 | yaw: -3.0890322075165755 
acc | connection: 1 | time: 4.479848146438599 | x_acc: -500 | y_acc: 1967 | z_acc: -477 
gyr | connection: 1 | time: 4.480847358703613 | x_gyr: 199 | y_gyr: -896 | z_gyr: -48 
ori | connection: 1 | time: 4.485184192657471 | roll: 3.1146930369148165 | pitch: -1.5707963267948966 | yaw: -3.096028916248134 
acc | connection: 1 | time: 4.485184192657471 | x_acc: -323 | y_acc: 2048 | z_acc: -389 
gyr | connection: 1 | time: 4.486183404922485 | x_gyr: 154 | y_gyr: -23 | z_gyr: 68 
ori | connection: 1 | time: 4.489981174468994 | roll: 3.1143070574879483 | pitch: -1.5707963267948966 | yaw: -3.0994140789035827 
acc | connection: 1 | time: 4.489981174468994 | x_acc: -48 | y_acc: 1968 | z_acc: 26 
gyr | connection: 1 | time: 4.491311311721802 | x_gyr: 112 | y_gyr: 578 | z_gyr: 127 
ori | connection: 1 | time: 4.495428085327148 | roll: 3.1098092309928 | pitch: -1.5707963267948966 | yaw: -3.1016599773812867 
acc | connection: 1 | time: 4.495428085327148 | x_acc: 382 | y_acc: 1929 | z_acc: 410 
gyr | connection: 1 | time: 4.495428085327148 | x_gyr: 166 | y_gyr: 553 | z_gyr: 98 
ori | connection: 1 | time: 4.500015020370483 | roll: 3.104423685160837 | pitch: -1.5707963267948966 | yaw: -3.104592471904472 
acc | connection: 1 | time: 4.500015020370483 | x_acc: 496 | y_acc: 2023 | z_acc: 487 
gyr | connection: 1 | time: 4.500015020370483 | x_gyr: 230 | y_gyr: -22 | z_gyr: 49 
ori | connection: 1 | time: 4.5045554637908936 | roll: 3.103528428030639 | pitch: -1.5707963267948966 | yaw: -3.1107938073215426 
acc | connection: 1 | time: 4.5045554637908936 | x_acc: 156 | y_acc: 2060 | z_acc: 95 
gyr | connection: 1 | time: 4.5045554637908936 | x_gyr: 326 | y_gyr: -542 | z_gyr: -28 
ori | connection: 1 | time: 4.511369466781616 | roll: 3.106275512347688 | pitch: -1.5707963267948966 | yaw: -3.115582175330242 
acc | connection: 1 | time: 4.511369466781616 | x_acc: -123 | y_acc: 1995 | z_acc: -62 
gyr | connection: 1 | time: 4.512367486953735 | x_gyr: 262 | y_gyr: -398 | z_gyr: -45 
ori | connection: 1 | time: 4.529804706573486 | roll: 3.107563131377957 | pitch: -1.5707963267948966 | yaw: -3.121461072532694 
acc | connection: 1 | time: 4.529804706573486 | x_acc: -62 | y_acc: 2060 | z_acc: -137 
gyr | connection: 1 | time: 4.529804706573486 | x_gyr: 236 | y_gyr: -59 | z_gyr: 15 
ori | connection: 1 | time: 4.544768810272217 | roll: 3.1053113039426727 | pitch: -1.5707963267948966 | yaw: -3.1296279443462707 
acc | connection: 1 | time: 4.544768810272217 | x_acc: 189 | y_acc: 2007 | z_acc: -271 
gyr | connection: 1 | time: 4.544768810272217 | x_gyr: 201 | y_gyr: -57 | z_gyr: 49 
ori | connection: 1 | time: 4.613131046295166 | roll: 3.1051532154245414 | pitch: -1.5707963267948966 | yaw: -3.13385964888265 
acc | connection: 1 | time: 4.613131046295166 | x_acc: 29 | y_acc: 1994 | z_acc: -172 
gyr | connection: 1 | time: 4.613704442977905 | x_gyr: 109 | y_gyr: -45 | z_gyr: 39 
ori | connection: 1 | time: 4.694891929626465 | roll: 3.10382795335055 | pitch: -1.5707963267948966 | yaw: -3.1369318853932766 
acc | connection: 1 | time: 4.6958911418914795 | x_acc: 198 | y_acc: 2043 | z_acc: -33 
gyr | connection: 1 | time: 4.69647479057312 | x_gyr: 101 | y_gyr: 205 | z_gyr: 15 
ori | connection: 1 | time: 4.747458219528198 | roll: 3.1017467409221915 | pitch: -1.5707963267948966 | yaw: 3.1383643941046313 
acc | connection: 1 | time: 4.748645305633545 | x_acc: 236 | y_acc: 2010 | z_acc: -83 
gyr | connection: 1 | time: 4.748645305633545 | x_gyr: 72 | y_gyr: 37 | z_gyr: -88 
ori | connection: 1 | time: 4.808256149291992 | roll: 3.1071334955765892 | pitch: -1.5707963267948966 | yaw: 3.137806985009405 
acc | connection: 1 | time: 4.808256149291992 | x_acc: 12 | y_acc: 1985 | z_acc: -50 
gyr | connection: 1 | time: 4.8092522621154785 | x_gyr: 47 | y_gyr: -16 | z_gyr: -147 
ori | connection: 1 | time: 4.830380439758301 | roll: 3.115515192190059 | pitch: -1.5707963267948966 | yaw: 3.139062637364516 
acc | connection: 1 | time: 4.830380439758301 | x_acc: 75 | y_acc: 1970 | z_acc: -43 
gyr | connection: 1 | time: 4.831381559371948 | x_gyr: 54 | y_gyr: -2 | z_gyr: -174 
ori | connection: 1 | time: 4.913213729858398 | roll: 3.118652380813298 | pitch: -1.5707963267948966 | yaw: 3.139906766770826 
acc | connection: 1 | time: 4.913213729858398 | x_acc: 128 | y_acc: 2041 | z_acc: -5 
gyr | connection: 1 | time: 4.914212942123413 | x_gyr: 56 | y_gyr: 34 | z_gyr: -180 
ori | connection: 1 | time: 5.078418731689453 | roll: 3.1296377493378498 | pitch: -1.5707963267948966 | yaw: -3.1414560120588333 
acc | connection: 1 | time: 5.078418731689453 | x_acc: 44 | y_acc: 2017 | z_acc: -54 
gyr | connection: 1 | time: 5.079418420791626 | x_gyr: 79 | y_gyr: -90 | z_gyr: -178 
ori | connection: 1 | time: 5.084900617599487 | roll: 3.133972980182886 | pitch: -1.5707963267948966 | yaw: -3.1415212417275193 
acc | connection: 1 | time: 5.084900617599487 | x_acc: -37 | y_acc: 2037 | z_acc: -130 
gyr | connection: 1 | time: 5.08590030670166 | x_gyr: 63 | y_gyr: -125 | z_gyr: -159 
ori | connection: 1 | time: 5.1239612102508545 | roll: -3.138776223281415 | pitch: -1.5707963267948966 | yaw: -3.141444982493873 
acc | connection: 1 | time: 5.1239612102508545 | x_acc: -49 | y_acc: 2015 | z_acc: -84 
gyr | connection: 1 | time: 5.1249613761901855 | x_gyr: 2 | y_gyr: -138 | z_gyr: 66 
ori | connection: 1 | time: 5.161452531814575 | roll: 3.123415841607205 | pitch: -1.5707963267948966 | yaw: 3.1314502607047694 
acc | connection: 1 | time: 5.161452531814575 | x_acc: 27 | y_acc: 2008 | z_acc: -113 
gyr | connection: 1 | time: 5.162791967391968 | x_gyr: -60 | y_gyr: 34 | z_gyr: 111 
ori | connection: 1 | time: 5.167701959609985 | roll: 3.120585706745506 | pitch: -1.5707963267948966 | yaw: 3.1306974126215605 
acc | connection: 1 | time: 5.167701959609985 | x_acc: 122 | y_acc: 2009 | z_acc: -82 
gyr | connection: 1 | time: 5.169133186340332 | x_gyr: -49 | y_gyr: -11 | z_gyr: 110 
ori | connection: 1 | time: 5.183551788330078 | roll: 3.1176222467168193 | pitch: -1.5707963267948966 | yaw: 3.130253445769899 
acc | connection: 1 | time: 5.184777736663818 | x_acc: 148 | y_acc: 2041 | z_acc: -74 
gyr | connection: 1 | time: 5.18577766418457 | x_gyr: -68 | y_gyr: -69 | z_gyr: 95 
ori | connection: 1 | time: 5.212336301803589 | roll: 3.1154525026866553 | pitch: -1.5707963267948966 | yaw: 3.129909662979483 
acc | connection: 1 | time: 5.213798522949219 | x_acc: 116 | y_acc: 2018 | z_acc: -111 
gyr | connection: 1 | time: 5.213798522949219 | x_gyr: -77 | y_gyr: -67 | z_gyr: 81 
ori | connection: 1 | time: 5.258270978927612 | roll: 3.1138358829354633 | pitch: -1.5707963267948966 | yaw: 3.1303827643796143 
acc | connection: 1 | time: 5.258774757385254 | x_acc: 118 | y_acc: 2015 | z_acc: -78 
gyr | connection: 1 | time: 5.258774757385254 | x_gyr: -87 | y_gyr: -39 | z_gyr: 61 
ori | connection: 1 | time: 5.280673980712891 | roll: 3.111152305956474 | pitch: -1.5707963267948966 | yaw: 3.132311856481643 
acc | connection: 1 | time: 5.280673980712891 | x_acc: 155 | y_acc: 2017 | z_acc: -34 
gyr | connection: 1 | time: 5.280673980712891 | x_gyr: -76 | y_gyr: -30 | z_gyr: 37 
ori | connection: 1 | time: 5.309913873672485 | roll: 3.1118639736975178 | pitch: -1.5707963267948966 | yaw: 3.134753370873681 
acc | connection: 1 | time: 5.310926675796509 | x_acc: -81 | y_acc: 2023 | z_acc: -105 
gyr | connection: 1 | time: 5.310926675796509 | x_gyr: -105 | y_gyr: -124 | z_gyr: 53 
ori | connection: 1 | time: 5.348873853683472 | roll: 3.111918886244875 | pitch: -1.5707963267948966 | yaw: 3.137067564125427 
acc | connection: 1 | time: 5.348873853683472 | x_acc: -95 | y_acc: 2022 | z_acc: -2 
gyr | connection: 1 | time: 5.349874496459961 | x_gyr: -108 | y_gyr: -70 | z_gyr: 105 
ori | connection: 1 | time: 5.36264705657959 | roll: 3.110362158758796 | pitch: -1.5707963267948966 | yaw: 3.139269939734618 
acc | connection: 1 | time: 5.36264705657959 | x_acc: -61 | y_acc: 1984 | z_acc: 72 
gyr | connection: 1 | time: 5.364176988601685 | x_gyr: -102 | y_gyr: -108 | z_gyr: 163 
ori | connection: 1 | time: 5.37774920463562 | roll: 3.1067021711543505 | pitch: -1.5707963267948966 | yaw: 3.140229423896141 
acc | connection: 1 | time: 5.378784894943237 | x_acc: 21 | y_acc: 2225 | z_acc: -76 
gyr | connection: 1 | time: 5.379075527191162 | x_gyr: -178 | y_gyr: -287 | z_gyr: 221 
ori | connection: 1 | time: 5.4025397300720215 | roll: 3.0969493341248615 | pitch: -1.5707963267948966 | yaw: -3.1412087557091355 
acc | connection: 1 | time: 5.4025397300720215 | x_acc: 291 | y_acc: 1889 | z_acc: 125 
gyr | connection: 1 | time: 5.404199600219727 | x_gyr: -61 | y_gyr: 107 | z_gyr: 216 
ori | connection: 1 | time: 5.4315783977508545 | roll: 3.0894489596036734 | pitch: -1.5707963267948966 | yaw: 3.1397469133428695 
acc | connection: 1 | time: 5.432669401168823 | x_acc: 507 | y_acc: 2000 | z_acc: 119 
gyr | connection: 1 | time: 5.434123754501343 | x_gyr: -12 | y_gyr: 64 | z_gyr: 157 
ori | connection: 1 | time: 6.331377744674683 | roll: 3.086685577589659 | pitch: -1.5707963267948966 | yaw: 3.1396953688222653 
acc | connection: 1 | time: 6.332382678985596 | x_acc: 326 | y_acc: 1884 | z_acc: 115 
gyr | connection: 1 | time: 6.3338494300842285 | x_gyr: -6 | y_gyr: 71 | z_gyr: 29 
ori | connection: 1 | time: 6.344720363616943 | roll: 3.085180493355864 | pitch: -1.5707963267948966 | yaw: 3.1364621581885803 
acc | connection: 1 | time: 6.3494791984558105 | x_acc: 293 | y_acc: 1939 | z_acc: -80 
